,simulation,n,T_RF,S_RF,X_RF_PTrue,X_RF_PPred
0,simA,5000,93.76919314485944,29.45792,14.775067301305947,14.792421512518919
6,simA,10000,46.596070788012874,29.458346666666667,10.232454699996294,10.246510634660547
1,simB,5000,5040.934870050762,2499.2384649097035,3167.324816941866,3166.02286936906
7,simB,10000,3564.090380799571,2192.0760720717967,3249.2097798849736,3246.6742794859033
2,simC,5000,0.04397758954083458,0.049506866599046025,0.047098635524579345,0.04701874830897757
8,simC,10000,0.030029767928110934,0.031141871347543565,0.03061051950037137,0.030620038676863418
3,simD,5000,0.021201138175944406,0.0001234934341477707,0.0021131814662876396,0.002185039588914746
9,simD,10000,0.01067952129225265,9.753805322474057e-05,0.001329480809026883,0.0013445845704616374
4,simE,5000,0.0471084432796109,0.04503314534015237,0.02350243511045343,0.02360369912814024
10,simE,10000,0.023684350743716876,0.02289537169007101,0.01311372493127585,0.013024360519029393
5,simF,5000,1.6623332395582533,1.6552919551242766,1.6419741596474982,1.6423302907965596
11,simF,10000,1.6210582500009967,1.6251901506782456,1.5891465689712874,1.5905170664914585
